BusinessID,bob,richard,kevin,james,donald,montey,terence,daniel,michael,nicholas,marcus,yiselle,philip,samantha,harold,hamilton,matthew,vincent,eduardo,sebastian
XZCUSU2ZIU50,514.0408643467956,602.0973546347343,538.2334934678922,559.3682338016472,595.9831255536959,505.07892668878776,534.9004381397264,512.3618456183299,585.5890313429032,567.4817353707205,616.2038642686084,671.5458775000715,506.6009323234848,587.9837398990692,744.8575462861286,502.41017131213863,596.5995363625252,618.8642731574928,599.9024511177806,760.087271939359
2BY5TKSX8I1N,707.1728947189778,720.2950350384966,500.7744751216285,550.8795589287042,513.7423544647974,605.8870318772427,552.145529993402,595.5043017680658,764.1785119075842,523.8433954952968,583.3625031436011,547.765107874708,515.3606056696542,519.37478043802,662.2998518960286,524.766429418377,601.7645272039521,530.9461501327471,635.2334723184617,518.3835969081385
J1GCTSPV0JT7,668.9640954416847,510.74413622695596,720.189408222051,702.9879598042057,515.6901357844757,699.8017447009903,558.6173641487787,508.6880325429952,555.3800898994048,653.889843971382,642.7059514380969,539.6639708142791,793.933355680764,516.7156813791221,610.6568950473501,518.4509473679376,541.0074714864536,575.1619374273895,1095.0945355488893,653.0366840376013
MG0HSZMQ3DU0,639.4292539947107,592.6811704824921,544.4035335195191,557.2636434030329,885.8288051455106,573.7412922466629,561.6954486226462,510.9699513813857,681.7283300621611,771.9227714394435,606.4861451124943,506.06084769613113,558.2666540185419,623.1183974720666,684.340414001829,625.7499019696511,845.0196777723788,509.1697507419635,556.4287209500693,638.7554738422606
0RUMSUJ3UOOF,549.8682426244756,793.6345041138337,584.5405466561659,586.8794707076313,545.3360910021756,632.3742044207927,554.5875230926479,502.7306699988407,624.7246564771459,528.7273108640675,535.6020997560992,603.3193714427745,546.6525331087273,628.4981863133173,565.8427114722715,679.0821901669254,533.6938709849331,601.0015321780222,571.9262051881682,930.9099993919201
NEGL58BISNL2,587.6376075864581,601.6516641328494,545.3572630309441,516.1150099332149,540.5336673194909,739.5203784489,618.3580848021293,724.0536786895627,611.3160528848866,655.5490124317357,741.6607937762369,503.0231220669897,524.1896095878421,586.2501609743662,655.352197576162,748.0540333382169,566.5596500548284,564.3333998808067,702.503631553361,653.165785153148
VX0J37W3C3LG,522.2331378682543,527.2827656408492,1031.9397603307293,522.1773935727962,523.284040652818,627.5056172391139,559.6807134286148,502.50169880013954,635.5230370966134,571.203046433184,625.589622069866,511.6590018914398,538.6529286411994,584.8502327127236,518.0743385979023,902.1645192578005,526.7684089877897,582.1451146168272,785.3829390463864,636.8882415209023
D1AXK3JI9WP7,593.9719854595846,639.3867455827201,609.3574809779844,956.4154597672511,518.9326437859561,566.4065999302642,585.37273226989,1010.4243054356994,560.8097523050342,501.9313789367155,519.696726236592,620.4148904590638,532.4400585631555,543.1851841740106,614.9053073040182,603.3145119425781,756.6684576329322,548.0411899116307,511.860583598655,671.7070277741987
E879CM7CADJ0,644.0925151272991,746.1196762173292,550.0637983639724,578.8259191264399,588.7892394548627,537.8979872911391,572.321900700267,542.2408889784338,518.1969534683319,824.196659474776,527.2084088180064,560.9588428310904,819.9736710214047,581.9680131947429,500.03982270883193,500.5843968542419,783.7826430870173,651.9953314714811,525.415483865058,618.5627243454744
6N35ML8RJTDL,550.9436312059902,527.763387576718,532.9407412363857,712.4803788050883,575.6454424197018,1034.9373073237548,536.4207468077651,570.2643682582938,548.6847542527116,632.6639074832027,793.5655520752598,512.3395792864469,551.2046887620573,562.1518386466366,548.3078527103551,706.332279512736,625.9153891750327,590.0839241777727,506.63933099927726,524.5611875199713
